protein,length,shape,status
P23511,347,exists,exists
P23528,166,exists,exists
P23588,611,exists,exists
P23763,118,exists,exists
P23786,658,exists,exists
P23919,212,exists,exists
P23921,792,exists,exists
P24001,234,exists,exists
P24539,256,exists,exists
P24666,158,exists,exists
P24752,427,exists,exists
P24928,1970,exists,exists
P25098,689,exists,exists
P25205,808,exists,exists
P25325,297,exists,exists
P25398,132,exists,exists
P25440,801,exists,exists
P25490,414,exists,exists
P25705,553,exists,exists
P25786,263,exists,exists
P25788,255,exists,exists
P25789,261,exists,exists
P26006,1051,exists,exists
P26196,483,exists,exists
P26232,953,exists,exists
P26358,1616,exists,exists
P26368,475,exists,exists
P26373,211,exists,exists
P26374,656,exists,exists
P26447,101,exists,exists
P26640,1264,exists,exists
P26641,437,exists,exists
P27105,288,exists,exists
P27144,223,exists,exists
P27361,379,exists,exists
P27694,616,exists,exists
P27695,318,exists,exists
P27707,260,exists,exists
P27708,2225,exists,exists
P27797,417,exists,exists
P27816,1152,exists,exists
P27824,592,exists,exists
P28062,276,exists,exists
P28070,264,exists,exists
P28072,239,exists,exists
P28288,659,exists,exists
P28331,727,exists,exists
P28340,1107,exists,exists
P28702,533,exists,exists
P28715,1186,exists,exists
P28838,519,exists,exists
P29083,439,exists,exists
P29084,291,exists,exists
P29144,1249,exists,exists
P29401,623,exists,exists
P29692,281,exists,exists
P29966,332,exists,exists
P29992,359,exists,exists
P30040,261,exists,exists
P30041,224,exists,exists
P30044,214,exists,exists
P30047,84,exists,exists
P30049,168,exists,exists
P30050,165,exists,exists
P30084,290,exists,exists
P30085,196,exists,exists
P30086,187,exists,exists
P30414,1462,exists,exists
P30419,496,exists,exists
P30519,316,exists,exists
P30520,456,exists,exists
P30533,357,exists,exists
P30566,484,exists,exists
P30613,574,exists,exists
P30622,1438,exists,exists
P30740,379,exists,exists
P30876,1174,exists,exists
P31040,664,exists,exists
P31150,447,exists,exists
P31153,395,exists,exists
P31323,418,exists,exists
P31350,389,exists,exists
P31751,481,exists,exists
P31937,336,exists,exists
P31939,592,exists,exists
P31943,449,exists,exists
P31948,543,exists,exists
P31949,105,exists,exists
P32121,409,exists,exists
P32320,146,exists,exists
P32780,548,exists,exists
P32929,405,exists,exists
P32969,192,exists,exists
P33316,252,exists,exists
P33527,1531,exists,exists
P33552,79,79x1024,generated
P33897,745,exists,exists
P33991,863,exists,exists
P33992,734,exists,exists
P33993,719,exists,exists
P34897,504,exists,exists
P34913,555,exists,exists
P34949,423,exists,exists
P35222,781,exists,exists
P35244,121,exists,exists
P35249,363,exists,exists
P35250,354,exists,exists
P35251,1148,exists,exists
P35268,128,exists,exists
P35269,517,exists,exists
P35270,261,exists,exists
P35527,623,exists,exists
P35573,1532,exists,exists
P35606,906,exists,exists
P35610,550,exists,exists
P35613,385,exists,exists
P35658,2090,exists,exists
P35659,375,exists,exists
P35813,382,exists,exists
P35914,325,exists,exists
P36405,182,exists,exists
P36507,400,exists,exists
P36542,298,exists,exists
P36543,226,exists,exists
P36578,427,exists,exists
P36776,959,exists,exists
P36871,562,exists,exists
P36897,503,exists,exists
P36954,125,exists,exists
P36957,453,exists,exists
P37108,136,exists,exists
P37198,522,exists,exists
P37235,193,exists,exists
P37268,417,exists,exists
P37837,337,exists,exists
P38117,255,exists,exists
P38435,758,exists,exists
P38606,617,exists,exists
P38646,679,exists,exists
P38919,411,exists,exists
P39019,145,exists,exists
P39748,380,exists,exists
P39880,1505,exists,exists
P40123,477,exists,exists
P40222,546,exists,exists
P40227,531,exists,exists
P40429,203,exists,exists
P40763,770,exists,exists
P40818,1118,exists,exists
P40925,334,exists,exists
P40926,338,exists,exists
P40938,356,exists,exists
P40939,763,exists,exists
P41091,472,exists,exists
P41208,172,exists,exists
P41227,235,exists,exists
P41236,205,exists,exists
P41247,253,exists,exists
P41250,739,exists,exists
P41252,1262,exists,exists
P41743,596,exists,exists
P42126,302,exists,exists
P42166,694,exists,exists
P42285,1042,exists,exists
P42345,2549,exists,exists
P42356,2102,2102x1024,generated
P42566,896,exists,exists
P42677,84,exists,exists
P42684,1182,exists,exists
P42704,1394,exists,exists
P42766,123,exists,exists
P42773,168,exists,exists
P42898,656,exists,exists
P43034,410,exists,exists
P43121,646,exists,exists
P43155,626,exists,exists
P43243,847,exists,exists
P43246,934,exists,exists
P43304,727,exists,exists
P43490,491,exists,exists
P43897,325,exists,exists
P45378,269,exists,exists
P45880,294,exists,exists
P45973,191,exists,exists
P45974,858,exists,exists
P46060,587,exists,exists
P46063,649,exists,exists
P46087,812,exists,exists
P46108,304,exists,exists
P46199,727,exists,exists
P46379,1132,exists,exists
P46459,744,exists,exists
P46736,316,exists,exists
P46776,148,exists,exists
P46777,297,exists,exists
P46778,160,exists,exists
P46779,137,exists,exists
P46781,194,exists,exists
P46782,204,exists,exists
P46926,289,exists,exists
P46934,1319,exists,exists
P46937,504,exists,exists
P46940,1657,exists,exists
P47712,749,exists,exists
P47755,286,exists,exists
P47897,775,exists,exists
P47914,159,exists,exists
P48047,213,exists,exists
P48147,710,exists,exists
P48200,963,exists,exists
P48444,511,exists,exists
P48449,732,exists,exists
P48507,274,exists,exists
P48509,253,exists,exists
P48553,1259,exists,exists
P48556,350,exists,exists
P48634,2157,exists,exists
P48637,474,exists,exists
P48643,541,exists,exists
P48651,473,exists,exists
P48723,471,exists,exists
P48729,337,exists,exists
P48735,452,exists,exists
P48739,271,exists,exists
P48960,835,exists,exists
P49023,591,exists,exists
P49207,117,exists,exists
P49247,311,exists,exists
P49257,510,exists,exists
P49321,788,exists,exists
P49327,2511,exists,exists
P49418,695,exists,exists
P49419,539,exists,exists
P49458,86,exists,exists
P49585,367,exists,exists
P49589,748,exists,exists
P49591,514,exists,exists
P49641,1150,exists,exists
P49642,420,exists,exists
P49643,509,exists,exists
P49662,377,exists,exists
P49711,727,exists,exists
P49720,205,exists,exists
P49721,201,exists,exists
P49736,904,exists,exists
P49748,655,exists,exists
P49750,2146,exists,exists
P49753,483,exists,exists
P49754,854,exists,exists
P49755,219,exists,exists
P49756,843,exists,exists
P49770,351,exists,exists
P49773,126,exists,exists
P49790,1475,exists,exists
P49821,464,exists,exists
P49902,561,exists,exists
P49903,392,exists,exists
P49914,203,exists,exists
P49915,693,exists,exists
P49916,1009,exists,exists
P49959,708,exists,exists
P50135,292,exists,exists
P50402,254,exists,exists
P50416,773,exists,exists
P50443,739,exists,exists
P50454,418,exists,exists
P50502,369,exists,exists
P50542,639,exists,exists
P50548,548,exists,exists
P50552,380,exists,exists
P50579,478,exists,exists
P50747,726,exists,exists
P50748,2209,exists,exists
P50914,215,exists,exists
P50990,548,exists,exists
P50995,505,exists,exists
P51003,745,exists,exists
P51116,673,exists,exists
P51149,207,exists,exists
P51398,398,exists,exists
P51452,185,exists,exists
P51532,1647,exists,exists
P51570,392,exists,exists
P51572,246,exists,exists
P51580,245,exists,exists
P51610,2035,exists,exists
P51648,485,exists,exists
P51649,535,exists,exists
P51659,736,exists,exists
P51665,324,exists,exists
P51784,963,exists,exists
P51809,220,exists,exists
P51970,172,exists,exists
P51991,378,exists,exists
P52209,483,exists,exists
P52272,730,exists,exists
P52294,538,exists,exists
P52298,156,exists,exists
P52435,117,exists,exists
P52565,204,exists,exists
P52594,562,exists,exists
P52701,1360,exists,exists
P52732,1056,exists,exists
P52735,878,exists,exists
P52788,366,exists,exists
P52815,198,exists,exists
P52948,1817,exists,exists
P53004,296,exists,exists
P53007,311,exists,exists
P53041,499,exists,exists
P53367,373,exists,exists
P53384,320,exists,exists
P53396,1101,exists,exists
P53597,346,exists,exists
P53602,400,exists,exists
P53609,377,exists,exists
P53611,331,exists,exists
P53618,953,exists,exists
P53621,1224,exists,exists
P53701,268,exists,exists
P53801,180,exists,exists
P53804,2025,exists,exists
P53816,162,exists,exists
P53985,500,exists,exists
P53990,364,exists,exists
P53992,1094,exists,exists
P53999,127,exists,exists
P54136,660,exists,exists
P54252,361,exists,exists
P54577,528,exists,exists
P54578,494,exists,exists
P54709,279,exists,exists
P54727,409,exists,exists
P54819,239,exists,exists
P54851,167,exists,exists
P54886,795,exists,exists
P54920,295,exists,exists
P55008,147,exists,exists
P55010,431,exists,exists
P55011,1212,exists,exists
P55060,971,exists,exists
P55072,806,exists,exists
P55081,439,exists,exists
P55084,474,exists,exists
P55145,182,exists,exists
P55209,391,exists,exists
P55210,303,exists,exists
P55263,362,exists,exists
P55265,1226,exists,exists
P55327,224,exists,exists
P55735,322,exists,exists
P55769,128,exists,exists
P55786,919,exists,exists
P55809,520,exists,exists
P55854,103,exists,exists
P55884,814,exists,exists
P56192,900,exists,exists
P56199,1179,exists,exists
P56270,477,exists,exists
P56378,58,exists,exists
P56385,69,exists,exists
P56545,445,exists,exists
P56715,2156,exists,exists
P56937,341,exists,exists
P56945,870,exists,exists
P57076,290,exists,exists
P57081,412,exists,exists
P57678,1058,exists,exists
P57723,403,exists,exists
P57740,925,exists,exists
P58546,118,exists,exists
P58557,167,exists,exists
P59998,168,exists,exists
P60002,83,exists,exists
P60059,68,exists,exists
P60228,445,exists,exists
P60484,403,exists,exists
P60866,119,exists,exists
P60896,70,exists,exists
P60983,142,exists,exists
P61009,180,exists,exists
P61011,504,exists,exists
P61081,183,exists,exists
P61086,200,exists,exists
P61158,418,exists,exists
P61201,443,exists,exists
P61221,599,exists,exists
P61247,264,exists,exists
P61254,145,exists,exists
P61289,254,exists,exists
P61313,204,exists,exists
P61353,136,exists,exists
P61421,351,exists,exists
P61457,104,exists,exists
P61604,102,exists,exists
P61619,476,exists,exists
P61758,197,exists,exists
P61764,594,exists,exists
P61769,119,exists,exists
P61916,151,exists,exists
P61923,177,exists,exists
P61927,97,exists,exists
P61964,334,exists,exists
P61966,158,exists,exists
P61978,463,exists,exists
P62072,90,exists,exists
P62081,194,exists,exists
P62136,330,exists,exists
P62191,440,exists,exists
P62241,208,exists,exists
P62244,130,exists,exists
P62249,146,exists,exists
P62256,183,exists,exists
P62258,255,exists,exists
P62263,151,exists,exists
P62266,143,exists,exists
P62269,152,exists,exists
P62273,56,exists,exists
P62277,151,exists,exists
P62280,158,exists,exists
P62304,92,exists,exists
P62306,86,exists,exists
P62316,118,exists,exists
P62318,126,exists,exists
P62424,266,exists,exists
P62495,437,exists,exists
P62633,177,exists,exists
P62750,156,exists,exists
P62753,249,exists,exists
P62805,103,exists,exists
P62826,216,exists,exists
P62829,140,exists,exists
P62841,145,exists,exists
P62847,133,exists,exists
P62851,125,exists,exists
P62854,115,exists,exists
P62857,69,exists,exists
P62873,340,exists,exists
P62877,108,exists,exists
P62888,115,exists,exists
P62891,51,exists,exists
P62899,125,exists,exists
P62906,217,exists,exists
P62910,135,exists,exists
P62913,178,exists,exists
P62917,257,exists,exists
P62993,217,exists,exists
P63167,89,exists,exists
P63173,70,exists,exists
P63208,163,exists,exists
P63220,83,exists,exists
P63241,154,exists,exists
P63244,317,exists,exists
P63272,117,exists,exists
P63279,158,exists,exists
P67812,179,exists,exists
P68400,391,exists,exists
P68431,136,exists,exists
P78310,365,exists,exists
P78316,857,exists,exists
P78318,339,exists,exists
P78330,225,exists,exists
P78344,907,exists,exists
P78345,283,exists,exists
P78347,998,exists,exists
P78406,368,exists,exists
P78417,241,exists,exists
P80723,227,exists,exists
P81274,684,exists,exists
P82094,1093,exists,exists
P82650,360,exists,exists
P82663,173,exists,exists
P82673,323,exists,exists
P82675,430,exists,exists
P82914,257,exists,exists
P82933,396,exists,exists
P82970,282,exists,exists
P82979,210,exists,exists
P83111,547,exists,exists
P83436,770,exists,exists
P83731,157,exists,exists
P83881,106,exists,exists
P84090,104,exists,exists
P84098,196,exists,exists
P98082,770,exists,exists
P98170,497,exists,exists
P98173,230,exists,exists
P98175,930,exists,exists
P99999,105,exists,exists
Q00059,246,exists,exists
Q00325,362,exists,exists
Q00403,316,exists,exists
Q00537,523,exists,exists
Q00577,322,exists,exists
Q00610,1675,exists,exists
Q00653,900,exists,exists
Q00688,224,exists,exists
Q00765,189,exists,exists
Q00796,357,exists,exists
Q01081,240,exists,exists
Q01105,290,exists,exists
Q01469,135,exists,exists
Q01581,520,exists,exists
Q01650,507,exists,exists
Q01780,885,exists,exists
Q01804,1114,exists,exists
Q01813,784,exists,exists
Q01831,940,exists,exists
Q01844,656,exists,exists
Q01970,1234,exists,exists
Q02040,695,exists,exists
Q02127,395,exists,exists
Q02218,1023,exists,exists
Q02241,960,exists,exists
Q02252,535,exists,exists
Q02543,176,exists,exists
Q02790,459,exists,exists
Q02818,461,exists,exists
Q02878,288,exists,exists
Q02880,1626,exists,exists
Q03135,178,exists,exists
Q03154,408,exists,exists
Q03426,396,exists,exists
Q03468,1493,exists,exists
Q03701,1054,exists,exists
Q04446,702,exists,exists
Q04637,1599,exists,exists
Q04721,2471,exists,exists
Q04727,773,exists,exists
Q04760,184,exists,exists
Q04837,148,exists,exists
Q04864,619,exists,exists
Q05086,875,exists,exists
Q05209,780,exists,exists
Q05397,1052,exists,exists
Q05519,484,exists,exists
Q05639,463,exists,exists
