protein,has_esm2,esm2_file,has_prott5,prott5_file,has_structure,structure_file,structure_last_dim,structure_dim_ok
O00411,True,O00411.pt,True,O00411.pt,True,O00411.pt,112,True
O00422,True,O00422.pt,True,O00422.pt,True,O00422.pt,112,True
O00442,True,O00442.pt,True,O00442.pt,True,O00442.pt,112,True
O00443,True,O00443.pt,True,O00443.pt,True,O00443.pt,112,True
O00459,True,O00459.pt,True,O00459.pt,True,O00459.pt,112,True
O00461,True,O00461.pt,True,O00461.pt,True,O00461.pt,112,True
O00471,True,O00471.pt,True,O00471.pt,True,O00471.pt,112,True
O00483,True,O00483.pt,True,O00483.pt,True,O00483.pt,112,True
O00487,True,O00487.pt,True,O00487.pt,True,O00487.pt,112,True
O00499,True,O00499.pt,True,O00499.pt,True,O00499.pt,112,True
O00507,True,O00507.pt,True,O00507.pt,True,O00507.pt,112,True
O00541,True,O00541.pt,True,O00541.pt,True,O00541.pt,112,True
O00560,True,O00560.pt,True,O00560.pt,True,O00560.pt,112,True
O00566,True,O00566.pt,True,O00566.pt,True,O00566.pt,112,True
O00567,True,O00567.pt,True,O00567.pt,True,O00567.pt,112,True
O00571,True,O00571.pt,True,O00571.pt,True,O00571.pt,112,True
O00592,True,O00592.pt,True,O00592.pt,True,O00592.pt,112,True
O00625,True,O00625.pt,True,O00625.pt,True,O00625.pt,112,True
O00762,True,O00762.pt,True,O00762.pt,True,O00762.pt,112,True
O00763,True,O00763.pt,True,O00763.pt,True,O00763.pt,112,True
O00764,True,O00764.pt,True,O00764.pt,True,O00764.pt,112,True
O00767,True,O00767.pt,True,O00767.pt,True,O00767.pt,112,True
O14497,True,O14497.pt,True,O14497.pt,True,O14497.pt,112,True
O14530,True,O14530.pt,True,O14530.pt,True,O14530.pt,112,True
O14545,True,O14545.pt,True,O14545.pt,True,O14545.pt,112,True
O14548,True,O14548.pt,True,O14548.pt,True,O14548.pt,112,True
O14561,True,O14561.pt,True,O14561.pt,True,O14561.pt,112,True
O14562,True,O14562.pt,True,O14562.pt,True,O14562.pt,112,True
O14579,True,O14579.pt,True,O14579.pt,True,O14579.pt,112,True
O14602,True,O14602.pt,True,O14602.pt,True,O14602.pt,112,True
O14617,True,O14617.pt,True,O14617.pt,True,O14617.pt,112,True
O14639,True,O14639.pt,True,O14639.pt,True,O14639.pt,112,True
O14647,True,O14647.pt,True,O14647.pt,True,O14647.pt,112,True
O14656,True,O14656.pt,True,O14656.pt,True,O14656.pt,112,True
O14727,True,O14727.pt,True,O14727.pt,True,O14727.pt,112,True
O14730,True,O14730.pt,True,O14730.pt,True,O14730.pt,112,True
O14737,True,O14737.pt,True,O14737.pt,True,O14737.pt,112,True
O14744,True,O14744.pt,True,O14744.pt,True,O14744.pt,112,True
O14745,True,O14745.pt,True,O14745.pt,True,O14745.pt,112,True
O14757,True,O14757.pt,True,O14757.pt,True,O14757.pt,112,True
O14776,True,O14776.pt,True,O14776.pt,True,O14776.pt,112,True
O14777,True,O14777.pt,True,O14777.pt,True,O14777.pt,112,True
O14802,True,O14802.pt,True,O14802.pt,True,O14802.pt,112,True
O14874,True,O14874.pt,True,O14874.pt,True,O14874.pt,112,True
O14880,True,O14880.pt,True,O14880.pt,True,O14880.pt,112,True
O14904,True,O14904.pt,True,O14904.pt,True,O14904.pt,112,True
O14907,True,O14907.pt,True,O14907.pt,True,O14907.pt,112,True
O14908,True,O14908.pt,True,O14908.pt,True,O14908.pt,112,True
O14925,True,O14925.pt,True,O14925.pt,True,O14925.pt,112,True
O14936,True,O14936.pt,True,O14936.pt,True,O14936.pt,112,True
O14950,True,O14950.pt,True,O14950.pt,True,O14950.pt,112,True
O14964,True,O14964.pt,True,O14964.pt,True,O14964.pt,112,True
O14974,True,O14974.pt,True,O14974.pt,True,O14974.pt,112,True
O14975,True,O14975.pt,True,O14975.pt,True,O14975.pt,112,True
O14979,True,O14979.pt,True,O14979.pt,True,O14979.pt,112,True
O14980,True,O14980.pt,True,O14980.pt,True,O14980.pt,112,True
O14981,True,O14981.pt,True,O14981.pt,True,O14981.pt,112,True
O15020,True,O15020.pt,True,O15020.pt,True,O15020.pt,112,True
O15031,True,O15031.pt,True,O15031.pt,True,O15031.pt,112,True
O15042,True,O15042.pt,True,O15042.pt,True,O15042.pt,112,True
O15066,True,O15066.pt,True,O15066.pt,True,O15066.pt,112,True
O15067,True,O15067.pt,True,O15067.pt,True,O15067.pt,112,True
O15078,True,O15078.pt,True,O15078.pt,True,O15078.pt,112,True
O15084,True,O15084.pt,True,O15084.pt,True,O15084.pt,112,True
O15091,True,O15091.pt,True,O15091.pt,True,O15091.pt,112,True
O15116,True,O15116.pt,True,O15116.pt,True,O15116.pt,112,True
O15121,True,O15121.pt,True,O15121.pt,True,O15121.pt,112,True
O15143,True,O15143.pt,True,O15143.pt,True,O15143.pt,112,True
O15144,True,O15144.pt,True,O15144.pt,True,O15144.pt,112,True
O15145,True,O15145.pt,True,O15145.pt,True,O15145.pt,112,True
O15160,True,O15160.pt,True,O15160.pt,True,O15160.pt,112,True
O15162,True,O15162.pt,True,O15162.pt,True,O15162.pt,112,True
O15173,True,O15173.pt,True,O15173.pt,True,O15173.pt,112,True
O15212,True,O15212.pt,True,O15212.pt,True,O15212.pt,112,True
O15213,True,O15213.pt,True,O15213.pt,True,O15213.pt,112,True
O15226,True,O15226.pt,True,O15226.pt,True,O15226.pt,112,True
O15260,True,O15260.pt,True,O15260.pt,True,O15260.pt,112,True
O15269,True,O15269.pt,True,O15269.pt,True,O15269.pt,112,True
O15270,True,O15270.pt,True,O15270.pt,True,O15270.pt,112,True
O15294,True,O15294.pt,True,O15294.pt,True,O15294.pt,112,True
O15305,True,O15305.pt,True,O15305.pt,True,O15305.pt,112,True
O15355,True,O15355.pt,True,O15355.pt,True,O15355.pt,112,True
O15357,True,O15357.pt,True,O15357.pt,True,O15357.pt,112,True
O15371,True,O15371.pt,True,O15371.pt,True,O15371.pt,112,True
O15372,True,O15372.pt,True,O15372.pt,True,O15372.pt,112,True
O15400,True,O15400.pt,True,O15400.pt,True,O15400.pt,112,True
O15479,True,O15479.pt,True,O15479.pt,True,O15479.pt,112,True
O15498,True,O15498.pt,True,O15498.pt,True,O15498.pt,112,True
O15541,True,O15541.pt,True,O15541.pt,True,O15541.pt,112,True
O15554,True,O15554.pt,True,O15554.pt,True,O15554.pt,112,True
O43148,True,O43148.pt,True,O43148.pt,True,O43148.pt,112,True
O43156,True,O43156.pt,True,O43156.pt,True,O43156.pt,112,True
O43172,True,O43172.pt,True,O43172.pt,True,O43172.pt,112,True
O43175,True,O43175.pt,True,O43175.pt,True,O43175.pt,112,True
O43181,True,O43181.pt,True,O43181.pt,True,O43181.pt,112,True
O43242,True,O43242.pt,True,O43242.pt,True,O43242.pt,112,True
O43252,True,O43252.pt,True,O43252.pt,True,O43252.pt,112,True
O43264,True,O43264.pt,True,O43264.pt,True,O43264.pt,112,True
O43290,True,O43290.pt,True,O43290.pt,True,O43290.pt,112,True
O43292,True,O43292.pt,True,O43292.pt,True,O43292.pt,112,True
O43310,True,O43310.pt,True,O43310.pt,True,O43310.pt,112,True
O43314,True,O43314.pt,True,O43314.pt,True,O43314.pt,112,True
O43318,True,O43318.pt,True,O43318.pt,True,O43318.pt,112,True
O43324,True,O43324.pt,True,O43324.pt,True,O43324.pt,112,True
O43345,True,O43345.pt,True,O43345.pt,True,O43345.pt,112,True
O43347,True,O43347.pt,True,O43347.pt,True,O43347.pt,112,True
O43353,True,O43353.pt,True,O43353.pt,True,O43353.pt,112,True
O43390,True,O43390.pt,True,O43390.pt,True,O43390.pt,112,True
O43395,True,O43395.pt,True,O43395.pt,True,O43395.pt,112,True
O43396,True,O43396.pt,True,O43396.pt,True,O43396.pt,112,True
O43399,True,O43399.pt,True,O43399.pt,True,O43399.pt,112,True
O43427,True,O43427.pt,True,O43427.pt,True,O43427.pt,112,True
O43491,True,O43491.pt,True,O43491.pt,True,O43491.pt,112,True
O43505,True,O43505.pt,True,O43505.pt,True,O43505.pt,112,True
O43513,True,O43513.pt,True,O43513.pt,True,O43513.pt,112,True
O43583,True,O43583.pt,True,O43583.pt,True,O43583.pt,112,True
O43592,True,O43592.pt,True,O43592.pt,True,O43592.pt,112,True
O43598,True,O43598.pt,True,O43598.pt,True,O43598.pt,112,True
O43615,True,O43615.pt,True,O43615.pt,True,O43615.pt,112,True
O43660,True,O43660.pt,True,O43660.pt,True,O43660.pt,112,True
O43663,True,O43663.pt,True,O43663.pt,True,O43663.pt,112,True
O43670,True,O43670.pt,True,O43670.pt,True,O43670.pt,112,True
O43674,True,O43674.pt,True,O43674.pt,True,O43674.pt,112,True
O43677,True,O43677.pt,True,O43677.pt,True,O43677.pt,112,True
O43681,True,O43681.pt,True,O43681.pt,True,O43681.pt,112,True
O43707,True,O43707.pt,True,O43707.pt,True,O43707.pt,112,True
O43716,True,O43716.pt,True,O43716.pt,True,O43716.pt,112,True
O43719,True,O43719.pt,True,O43719.pt,True,O43719.pt,112,True
O43739,True,O43739.pt,True,O43739.pt,True,O43739.pt,112,True
O43747,True,O43747.pt,True,O43747.pt,True,O43747.pt,112,True
O43752,True,O43752.pt,True,O43752.pt,True,O43752.pt,112,True
O43765,True,O43765.pt,True,O43765.pt,True,O43765.pt,112,True
O43768,True,O43768.pt,True,O43768.pt,True,O43768.pt,112,True
O43776,True,O43776.pt,True,O43776.pt,True,O43776.pt,112,True
O43795,True,O43795.pt,True,O43795.pt,True,O43795.pt,112,True
O43805,True,O43805.pt,True,O43805.pt,True,O43805.pt,112,True
O43809,True,O43809.pt,True,O43809.pt,True,O43809.pt,112,True
O43818,True,O43818.pt,True,O43818.pt,True,O43818.pt,112,True
O43823,True,O43823.pt,True,O43823.pt,True,O43823.pt,112,True
O43837,True,O43837.pt,True,O43837.pt,True,O43837.pt,112,True
O43861,True,O43861.pt,True,O43861.pt,True,O43861.pt,112,True
O43896,True,O43896.pt,True,O43896.pt,True,O43896.pt,112,True
O43913,True,O43913.pt,True,O43913.pt,True,O43913.pt,112,True
O60216,True,O60216.pt,True,O60216.pt,True,O60216.pt,112,True
O60239,True,O60239.pt,True,O60239.pt,True,O60239.pt,112,True
O60244,True,O60244.pt,True,O60244.pt,True,O60244.pt,112,True
O60264,True,O60264.pt,True,O60264.pt,True,O60264.pt,112,True
O60271,True,O60271.pt,True,O60271.pt,True,O60271.pt,112,True
O60287,True,O60287.pt,True,O60287.pt,True,O60287.pt,112,True
O60293,True,O60293.pt,True,O60293.pt,True,O60293.pt,112,True
O60306,True,O60306.pt,True,O60306.pt,True,O60306.pt,112,True
O60313,True,O60313.pt,True,O60313.pt,True,O60313.pt,112,True
O60333,True,O60333.pt,True,O60333.pt,True,O60333.pt,112,True
O60341,True,O60341.pt,True,O60341.pt,True,O60341.pt,112,True
O60343,True,O60343.pt,True,O60343.pt,True,O60343.pt,112,True
O60437,True,O60437.pt,True,O60437.pt,True,O60437.pt,112,True
O60443,True,O60443.pt,True,O60443.pt,True,O60443.pt,112,True
O60493,True,O60493.pt,True,O60493.pt,True,O60493.pt,112,True
O60502,True,O60502.pt,True,O60502.pt,True,O60502.pt,112,True
O60503,True,O60503.pt,True,O60503.pt,True,O60503.pt,112,True
O60518,True,O60518.pt,True,O60518.pt,True,O60518.pt,112,True
O60524,True,O60524.pt,True,O60524.pt,True,O60524.pt,112,True
O60547,True,O60547.pt,True,O60547.pt,True,O60547.pt,112,True
O60563,True,O60563.pt,True,O60563.pt,True,O60563.pt,112,True
O60566,True,O60566.pt,True,O60566.pt,True,O60566.pt,112,True
O60568,True,O60568.pt,True,O60568.pt,True,O60568.pt,112,True
O60610,True,O60610.pt,True,O60610.pt,True,O60610.pt,112,True
O60678,True,O60678.pt,True,O60678.pt,True,O60678.pt,112,True
O60701,True,O60701.pt,True,O60701.pt,True,O60701.pt,112,True
O60716,True,O60716.pt,True,O60716.pt,True,O60716.pt,112,True
O60739,True,O60739.pt,True,O60739.pt,True,O60739.pt,112,True
O60762,True,O60762.pt,True,O60762.pt,True,O60762.pt,112,True
O60763,True,O60763.pt,True,O60763.pt,True,O60763.pt,112,True
O60826,True,O60826.pt,True,O60826.pt,True,O60826.pt,112,True
O60828,True,O60828.pt,True,O60828.pt,True,O60828.pt,112,True
O60832,True,O60832.pt,True,O60832.pt,True,O60832.pt,112,True
O60841,True,O60841.pt,True,O60841.pt,True,O60841.pt,112,True
O60869,True,O60869.pt,True,O60869.pt,True,O60869.pt,112,True
O60870,True,O60870.pt,True,O60870.pt,True,O60870.pt,112,True
O60884,True,O60884.pt,True,O60884.pt,True,O60884.pt,112,True
O60885,True,O60885.pt,True,O60885.pt,True,O60885.pt,112,True
O60888,True,O60888.pt,True,O60888.pt,True,O60888.pt,112,True
O60921,True,O60921.pt,True,O60921.pt,True,O60921.pt,112,True
O60925,True,O60925.pt,True,O60925.pt,True,O60925.pt,112,True
O60934,True,O60934.pt,True,O60934.pt,True,O60934.pt,112,True
O75027,True,O75027.pt,True,O75027.pt,True,O75027.pt,112,True
O75063,True,O75063.pt,True,O75063.pt,True,O75063.pt,112,True
O75083,True,O75083.pt,True,O75083.pt,True,O75083.pt,112,True
O75094,True,O75094.pt,True,O75094.pt,True,O75094.pt,112,True
O75116,True,O75116.pt,True,O75116.pt,True,O75116.pt,112,True
O75127,True,O75127.pt,True,O75127.pt,True,O75127.pt,112,True
O75131,True,O75131.pt,True,O75131.pt,True,O75131.pt,112,True
O75143,True,O75143.pt,True,O75143.pt,True,O75143.pt,112,True
O75145,True,O75145.pt,True,O75145.pt,True,O75145.pt,112,True
O75146,True,O75146.pt,True,O75146.pt,True,O75146.pt,112,True
O75150,True,O75150.pt,True,O75150.pt,True,O75150.pt,112,True
O75152,True,O75152.pt,True,O75152.pt,True,O75152.pt,112,True
O75153,True,O75153.pt,True,O75153.pt,True,O75153.pt,112,True
O75155,True,O75155.pt,True,O75155.pt,True,O75155.pt,112,True
O75157,True,O75157.pt,True,O75157.pt,True,O75157.pt,112,True
O75165,True,O75165.pt,True,O75165.pt,True,O75165.pt,112,True
O75175,True,O75175.pt,True,O75175.pt,True,O75175.pt,112,True
O75179,True,O75179.pt,True,O75179.pt,True,O75179.pt,112,True
O75190,True,O75190.pt,True,O75190.pt,True,O75190.pt,112,True
O75191,True,O75191.pt,True,O75191.pt,True,O75191.pt,112,True
O75208,True,O75208.pt,True,O75208.pt,True,O75208.pt,112,True
O75223,True,O75223.pt,True,O75223.pt,True,O75223.pt,112,True
O75306,True,O75306.pt,True,O75306.pt,True,O75306.pt,112,True
O75312,True,O75312.pt,True,O75312.pt,True,O75312.pt,112,True
O75323,True,O75323.pt,True,O75323.pt,True,O75323.pt,112,True
O75330,True,O75330.pt,True,O75330.pt,True,O75330.pt,112,True
O75334,True,O75334.pt,True,O75334.pt,True,O75334.pt,112,True
O75347,True,O75347.pt,True,O75347.pt,True,O75347.pt,112,True
O75348,True,O75348.pt,True,O75348.pt,True,O75348.pt,112,True
O75351,True,O75351.pt,True,O75351.pt,True,O75351.pt,112,True
O75368,True,O75368.pt,True,O75368.pt,True,O75368.pt,112,True
O75380,True,O75380.pt,True,O75380.pt,True,O75380.pt,112,True
O75390,True,O75390.pt,True,O75390.pt,True,O75390.pt,112,True
O75391,True,O75391.pt,True,O75391.pt,True,O75391.pt,112,True
O75400,True,O75400.pt,True,O75400.pt,True,O75400.pt,112,True
O75410,True,O75410.pt,True,O75410.pt,True,O75410.pt,112,True
O75419,True,O75419.pt,True,O75419.pt,True,O75419.pt,112,True
O75420,True,O75420.pt,True,O75420.pt,True,O75420.pt,112,True
O75436,True,O75436.pt,True,O75436.pt,True,O75436.pt,112,True
O75439,True,O75439.pt,True,O75439.pt,True,O75439.pt,112,True
O75446,True,O75446.pt,True,O75446.pt,True,O75446.pt,112,True
O75448,True,O75448.pt,True,O75448.pt,True,O75448.pt,112,True
O75459,True,O75459.pt,True,O75459.pt,True,O75459.pt,112,True
O75475,True,O75475.pt,True,O75475.pt,True,O75475.pt,112,True
O75477,True,O75477.pt,True,O75477.pt,True,O75477.pt,112,True
O75486,True,O75486.pt,True,O75486.pt,True,O75486.pt,112,True
O75496,True,O75496.pt,True,O75496.pt,True,O75496.pt,112,True
O75521,True,O75521.pt,True,O75521.pt,True,O75521.pt,112,True
O75526,True,O75526.pt,True,O75526.pt,True,O75526.pt,112,True
O75531,True,O75531.pt,True,O75531.pt,True,O75531.pt,112,True
O75533,True,O75533.pt,True,O75533.pt,True,O75533.pt,112,True
O75534,True,O75534.pt,True,O75534.pt,True,O75534.pt,112,True
O75554,True,O75554.pt,True,O75554.pt,True,O75554.pt,112,True
O75643,True,O75643.pt,True,O75643.pt,True,O75643.pt,112,True
O75663,True,O75663.pt,True,O75663.pt,True,O75663.pt,112,True
O75665,True,O75665.pt,True,O75665.pt,True,O75665.pt,112,True
O75674,True,O75674.pt,True,O75674.pt,True,O75674.pt,112,True
O75683,True,O75683.pt,True,O75683.pt,True,O75683.pt,112,True
O75694,True,O75694.pt,True,O75694.pt,True,O75694.pt,112,True
O75695,True,O75695.pt,True,O75695.pt,True,O75695.pt,112,True
O75717,True,O75717.pt,True,O75717.pt,True,O75717.pt,112,True
O75718,True,O75718.pt,True,O75718.pt,True,O75718.pt,112,True
O75746,True,O75746.pt,True,O75746.pt,True,O75746.pt,112,True
O75787,True,O75787.pt,True,O75787.pt,True,O75787.pt,112,True
O75792,True,O75792.pt,True,O75792.pt,True,O75792.pt,112,True
O75794,True,O75794.pt,True,O75794.pt,True,O75794.pt,112,True
O75818,True,O75818.pt,True,O75818.pt,True,O75818.pt,112,True
O75821,True,O75821.pt,True,O75821.pt,True,O75821.pt,112,True
O75822,True,O75822.pt,True,O75822.pt,True,O75822.pt,112,True
O75832,True,O75832.pt,True,O75832.pt,True,O75832.pt,112,True
O75844,True,O75844.pt,True,O75844.pt,True,O75844.pt,112,True
O75934,True,O75934.pt,True,O75934.pt,True,O75934.pt,112,True
O75937,True,O75937.pt,True,O75937.pt,True,O75937.pt,112,True
O75940,True,O75940.pt,True,O75940.pt,True,O75940.pt,112,True
O75947,True,O75947.pt,True,O75947.pt,True,O75947.pt,112,True
O75964,True,O75964.pt,True,O75964.pt,True,O75964.pt,112,True
O76003,True,O76003.pt,True,O76003.pt,True,O76003.pt,112,True
O76021,True,O76021.pt,True,O76021.pt,True,O76021.pt,112,True
O76094,True,O76094.pt,True,O76094.pt,True,O76094.pt,112,True
O94760,True,O94760.pt,True,O94760.pt,True,O94760.pt,112,True
O94776,True,O94776.pt,True,O94776.pt,True,O94776.pt,112,True
O94804,True,O94804.pt,True,O94804.pt,True,O94804.pt,112,True
O94822,True,O94822.pt,True,O94822.pt,True,O94822.pt,112,True
O94826,True,O94826.pt,True,O94826.pt,True,O94826.pt,112,True
O94874,True,O94874.pt,True,O94874.pt,True,O94874.pt,112,True
O94888,True,O94888.pt,True,O94888.pt,True,O94888.pt,112,True
O94906,True,O94906.pt,True,O94906.pt,True,O94906.pt,112,True
O94925,True,O94925.pt,True,O94925.pt,True,O94925.pt,112,True
O94966,True,O94966.pt,True,O94966.pt,True,O94966.pt,112,True
O94979,True,O94979.pt,True,O94979.pt,True,O94979.pt,112,True
O94992,True,O94992.pt,True,O94992.pt,True,O94992.pt,112,True
O95049,True,O95049.pt,True,O95049.pt,True,O95049.pt,112,True
O95070,True,O95070.pt,True,O95070.pt,True,O95070.pt,112,True
O95081,True,O95081.pt,True,O95081.pt,True,O95081.pt,112,True
O95104,True,O95104.pt,True,O95104.pt,True,O95104.pt,112,True
O95140,True,O95140.pt,True,O95140.pt,True,O95140.pt,112,True
O95155,True,O95155.pt,True,O95155.pt,True,O95155.pt,112,True
O95163,True,O95163.pt,True,O95163.pt,True,O95163.pt,112,True
O95166,True,O95166.pt,True,O95166.pt,True,O95166.pt,112,True
O95182,True,O95182.pt,True,O95182.pt,True,O95182.pt,112,True
O95197,True,O95197.pt,True,O95197.pt,True,O95197.pt,112,True
O95202,True,O95202.pt,True,O95202.pt,True,O95202.pt,112,True
O95218,True,O95218.pt,True,O95218.pt,True,O95218.pt,112,True
O95232,True,O95232.pt,True,O95232.pt,True,O95232.pt,112,True
O95235,True,O95235.pt,True,O95235.pt,True,O95235.pt,112,True
O95251,True,O95251.pt,True,O95251.pt,True,O95251.pt,112,True
O95267,True,O95267.pt,True,O95267.pt,True,O95267.pt,112,True
O95295,True,O95295.pt,True,O95295.pt,True,O95295.pt,112,True
O95299,True,O95299.pt,True,O95299.pt,True,O95299.pt,112,True
O95319,True,O95319.pt,True,O95319.pt,True,O95319.pt,112,True
O95347,True,O95347.pt,True,O95347.pt,True,O95347.pt,112,True
O95361,True,O95361.pt,True,O95361.pt,True,O95361.pt,112,True
O95363,True,O95363.pt,True,O95363.pt,True,O95363.pt,112,True
O95373,True,O95373.pt,True,O95373.pt,True,O95373.pt,112,True
O95376,True,O95376.pt,True,O95376.pt,True,O95376.pt,112,True
O95379,True,O95379.pt,True,O95379.pt,True,O95379.pt,112,True
O95394,True,O95394.pt,True,O95394.pt,True,O95394.pt,112,True
O95433,True,O95433.pt,True,O95433.pt,True,O95433.pt,112,True
O95453,True,O95453.pt,True,O95453.pt,True,O95453.pt,112,True
O95456,True,O95456.pt,True,O95456.pt,True,O95456.pt,112,True
O95466,True,O95466.pt,True,O95466.pt,True,O95466.pt,112,True
O95470,True,O95470.pt,True,O95470.pt,True,O95470.pt,112,True
O95478,True,O95478.pt,True,O95478.pt,True,O95478.pt,112,True
O95487,True,O95487.pt,True,O95487.pt,True,O95487.pt,112,True
O95573,True,O95573.pt,True,O95573.pt,True,O95573.pt,112,True
O95602,True,O95602.pt,True,O95602.pt,True,O95602.pt,112,True
O95619,True,O95619.pt,True,O95619.pt,True,O95619.pt,112,True
O95630,True,O95630.pt,True,O95630.pt,True,O95630.pt,112,True
O95674,True,O95674.pt,True,O95674.pt,True,O95674.pt,112,True
O95684,True,O95684.pt,True,O95684.pt,True,O95684.pt,112,True
O95707,True,O95707.pt,True,O95707.pt,True,O95707.pt,112,True
O95721,True,O95721.pt,True,O95721.pt,True,O95721.pt,112,True
O95749,True,O95749.pt,True,O95749.pt,True,O95749.pt,112,True
O95782,True,O95782.pt,True,O95782.pt,True,O95782.pt,112,True
O95801,True,O95801.pt,True,O95801.pt,True,O95801.pt,112,True
O95816,True,O95816.pt,True,O95816.pt,True,O95816.pt,112,True
O95819,True,O95819.pt,True,O95819.pt,True,O95819.pt,112,True
O95831,True,O95831.pt,True,O95831.pt,True,O95831.pt,112,True
O95861,True,O95861.pt,True,O95861.pt,True,O95861.pt,112,True
O95900,True,O95900.pt,True,O95900.pt,True,O95900.pt,112,True
O95922,True,O95922.pt,True,O95922.pt,True,O95922.pt,112,True
O95985,True,O95985.pt,True,O95985.pt,True,O95985.pt,112,True
O96005,True,O96005.pt,True,O96005.pt,True,O96005.pt,112,True
P00367,True,P00367.pt,True,P00367.pt,True,P00367.pt,112,True
P00374,True,P00374.pt,True,P00374.pt,True,P00374.pt,112,True
P00390,True,P00390.pt,True,P00390.pt,True,P00390.pt,112,True
P00414,True,P00414.pt,True,P00414.pt,True,P00414.pt,112,True
P00441,True,P00441.pt,True,P00441.pt,True,P00441.pt,112,True
P00491,True,P00491.pt,True,P00491.pt,True,P00491.pt,112,True
P00505,True,P00505.pt,True,P00505.pt,True,P00505.pt,112,True
P00533,True,P00533.pt,True,P00533.pt,True,P00533.pt,112,True
P00558,True,P00558.pt,True,P00558.pt,True,P00558.pt,112,True
P00966,True,P00966.pt,True,P00966.pt,True,P00966.pt,112,True
P02545,True,P02545.pt,True,P02545.pt,True,P02545.pt,112,True
P02786,True,P02786.pt,True,P02786.pt,True,P02786.pt,112,True
P02794,True,P02794.pt,True,P02794.pt,True,P02794.pt,112,True
P04040,True,P04040.pt,True,P04040.pt,True,P04040.pt,112,True
P04075,True,P04075.pt,True,P04075.pt,True,P04075.pt,112,True
P04080,True,P04080.pt,True,P04080.pt,True,P04080.pt,112,True
