protein,outer_split,fold
O43353,train,5.0
O43390,train,4.0
O43395,train,5.0
O43396,test,
O43399,train,3.0
O43427,train,1.0
O43491,test,
O43505,train,2.0
O43513,train,2.0
O43583,train,1.0
O43592,train,1.0
O43598,test,
O43615,train,3.0
O43660,train,3.0
O43663,train,5.0
O43670,train,1.0
O43674,train,1.0
O43677,train,5.0
O43681,train,1.0
O43707,train,4.0
O43716,test,
O43719,train,1.0
O43739,train,3.0
O43747,train,3.0
O43752,train,1.0
O43765,train,4.0
O43768,train,2.0
O43776,train,4.0
O43795,train,3.0
O43805,train,1.0
O43809,train,2.0
O43818,train,2.0
O43823,train,5.0
O43837,test,
O43861,test,
O43896,train,5.0
O43913,train,4.0
O60216,train,3.0
O60239,train,3.0
O60244,test,
O60264,train,4.0
O60271,train,1.0
O60287,train,4.0
O60293,train,1.0
O60306,train,4.0
O60313,train,5.0
O60333,train,2.0
O60341,test,
O60343,train,1.0
O60437,train,1.0
O60443,train,2.0
O60493,test,
O60502,train,5.0
O60503,train,1.0
O60518,train,2.0
O60524,train,5.0
O60547,train,1.0
O60563,train,1.0
O60566,train,3.0
O60568,train,1.0
O60610,test,
O60678,train,5.0
O60701,train,3.0
O60716,train,2.0
O60739,train,2.0
O60762,train,2.0
O60763,train,1.0
O60826,train,2.0
O60828,test,
O60832,train,4.0
O60841,train,2.0
O60869,train,2.0
O60870,train,1.0
O60884,test,
O60885,train,3.0
O60888,test,
O60921,train,1.0
O60925,test,
O60934,train,4.0
O75027,test,
O75063,train,2.0
O75083,train,5.0
O75094,test,
O75116,train,3.0
O75127,train,3.0
O75131,train,2.0
O75143,train,1.0
O75145,test,
O75146,train,1.0
O75150,train,4.0
O75152,train,4.0
O75153,train,4.0
O75155,train,1.0
O75157,train,4.0
O75165,train,1.0
O75175,train,5.0
O75179,train,2.0
O75190,train,5.0
O75191,train,5.0
O75208,train,1.0
O75223,train,5.0
O75306,train,3.0
O75312,test,
O75323,test,
O75330,train,4.0
O75334,train,2.0
O75347,train,5.0
O75348,train,2.0
O75351,train,2.0
O75368,train,3.0
O75380,train,1.0
O75390,train,4.0
O75391,train,1.0
O75400,train,4.0
O75410,train,2.0
O75419,train,2.0
O75420,test,
O75436,train,1.0
O75439,test,
O75446,train,4.0
O75448,train,1.0
O75459,train,2.0
O75475,train,4.0
O75477,test,
O75486,train,2.0
O75496,test,
O75521,test,
O75526,train,3.0
O75531,train,2.0
O75533,train,4.0
O75534,train,1.0
O75554,train,4.0
O75643,train,2.0
O75663,train,5.0
O75665,train,1.0
O75674,train,3.0
O75683,train,5.0
O75694,train,3.0
O75695,test,
O75717,train,4.0
O75718,train,1.0
O75746,train,1.0
O75787,train,2.0
O75792,train,4.0
O75794,train,3.0
O75818,test,
O75821,train,3.0
O75822,train,2.0
O75832,train,2.0
O75844,train,5.0
O75934,train,3.0
O75937,train,1.0
O75940,train,3.0
O75947,train,2.0
O75964,train,3.0
O76003,train,4.0
O76021,train,1.0
O76094,test,
O94760,train,4.0
O94776,train,2.0
O94804,train,1.0
O94822,train,3.0
O94826,train,3.0
O94874,train,3.0
O94888,train,2.0
O94906,test,
O94925,train,5.0
O94966,train,1.0
O94979,train,1.0
O94992,train,2.0
O95049,test,
O95070,train,2.0
O95081,train,5.0
O95104,train,2.0
O95140,train,3.0
O95155,train,3.0
O95163,train,5.0
O95166,train,1.0
O95182,train,2.0
O95197,train,1.0
O95202,train,5.0
O95218,train,2.0
O95232,train,2.0
O95235,train,2.0
O95251,test,
O95267,test,
O95295,train,2.0
O95299,train,5.0
O95319,test,
O95347,test,
O95361,train,2.0
O95363,train,5.0
O95373,test,
O95376,test,
O95379,train,3.0
O95394,train,5.0
O95433,train,5.0
O95453,train,2.0
O95456,train,5.0
O95466,train,2.0
O95470,test,
O95478,train,1.0
O95487,train,1.0
O95573,train,4.0
O95602,train,2.0
O95619,train,5.0
O95630,train,4.0
O95674,train,4.0
O95684,train,1.0
O95707,train,2.0
O95721,train,1.0
O95749,train,2.0
O95782,train,5.0
O95801,train,1.0
O95816,test,
O95819,test,
O95831,train,1.0
O95861,test,
O95900,test,
O95922,train,5.0
O95985,train,5.0
O96005,train,5.0
P00367,train,4.0
P00374,train,2.0
P00390,test,
P00414,test,
P00441,train,5.0
P00491,train,1.0
P00505,train,5.0
P00533,train,1.0
P00558,train,4.0
P00966,train,4.0
P02545,train,2.0
P02786,train,1.0
P02794,train,2.0
P04040,train,4.0
P04075,train,2.0
P04080,train,5.0
P04179,test,
P04181,train,1.0
P04183,train,3.0
P04406,train,3.0
P04632,test,
P04792,train,2.0
P04818,train,5.0
P04843,test,
P04844,train,5.0
P04920,train,4.0
P05026,train,5.0
P05114,test,
P05141,train,4.0
P05187,test,
P05198,train,1.0
P05387,train,1.0
P05388,train,4.0
P05455,train,5.0
P05556,train,3.0
P05783,test,
P06213,train,2.0
P06280,train,5.0
P06454,train,2.0
P06576,test,
P06733,train,3.0
P06737,test,
P06744,train,3.0
P06748,test,
P06753,train,4.0
P07099,train,2.0
P07195,train,2.0
P07237,train,2.0
P07305,train,3.0
P07311,train,4.0
P07339,train,3.0
P07384,test,
P07737,test,
P07741,train,4.0
P07814,train,4.0
P07858,train,3.0
P07910,test,
P07942,train,4.0
P07954,train,1.0
P08047,test,
P08133,test,
P08174,train,1.0
P08183,train,5.0
P08240,train,2.0
P08243,train,4.0
P08397,train,3.0
P08559,test,
P08621,train,5.0
P08651,train,3.0
P08708,train,2.0
P08865,train,4.0
P09001,train,3.0
P09012,train,1.0
P09038,train,5.0
P09132,train,3.0
P09211,test,
P09234,train,5.0
P09382,train,5.0
P09496,train,2.0
P09543,train,1.0
P09622,train,1.0
P09661,test,
P09874,train,1.0
P09884,train,4.0
P09960,train,1.0
P0C7P0,train,4.0
P0C7P4,train,2.0
P0CG48,train,4.0
P0DJ07,train,2.0
P0DMU7,train,2.0
P0DPB6,train,2.0
P10155,train,4.0
P10321,train,4.0
P10515,train,1.0
P10606,train,4.0
P10620,test,
P10644,train,2.0
P10768,train,4.0
P10809,train,2.0
P10909,test,
P11047,train,3.0
P11117,train,3.0
P11166,train,5.0
P11172,train,4.0
P11177,train,4.0
P11233,test,
P11310,train,5.0
P11387,train,3.0
P11413,train,1.0
P11498,train,4.0
P11717,train,4.0
P11766,test,
P11831,train,4.0
P11908,train,4.0
P12004,train,2.0
P12081,train,5.0
P12107,train,5.0
P12268,test,
P12270,train,2.0
P12694,train,3.0
P12955,train,3.0
P12956,test,
P13010,train,4.0
P13051,train,3.0
P13073,train,2.0
P13284,test,
P13489,train,1.0
P13639,train,4.0
P13667,train,2.0
P13674,train,2.0
P13693,test,
P13797,train,5.0
P13804,test,
P13807,test,
P13984,train,3.0
P13987,train,3.0
P13995,train,3.0
P14174,train,5.0
P14209,train,3.0
P14314,train,3.0
P14317,train,3.0
P14324,train,1.0
P14550,train,1.0
P14625,train,1.0
P14635,train,4.0
P14678,train,4.0
P14735,train,2.0
P14854,train,3.0
P14866,train,5.0
P14868,train,2.0
P15056,train,4.0
P15311,train,5.0
P15328,train,3.0
P15374,train,3.0
P15408,train,5.0
P15529,train,5.0
P15531,train,1.0
P15559,test,
P15735,train,2.0
P15880,train,1.0
P15927,train,1.0
P16070,test,
P16152,test,
P16278,test,
P16401,train,3.0
P16435,train,5.0
P16591,test,
P16615,train,1.0
P16989,test,
P17096,train,5.0
P17252,train,4.0
P17480,train,2.0
P17568,train,2.0
P17612,train,5.0
P17676,test,
P17812,train,1.0
P17987,train,3.0
P18031,train,2.0
P18074,test,
P18077,train,2.0
P18124,train,1.0
P18206,test,
P18583,test,
P18621,test,
P18669,train,2.0
P18754,train,4.0
P18858,train,5.0
P19174,train,3.0
P19338,train,5.0
P19367,test,
P19404,train,1.0
P19440,train,5.0
P19525,train,2.0
P19532,train,5.0
P20042,train,2.0
P20226,train,2.0
P20290,train,5.0
P20585,test,
P20618,train,1.0
P20645,train,4.0
P20674,train,5.0
P20810,train,3.0
P21127,test,
P21266,train,4.0
P21281,train,2.0
P21283,test,
P21291,train,3.0
P21912,test,
P21926,train,4.0
P21953,train,2.0
P21964,train,4.0
P22033,test,
P22059,train,3.0
P22087,train,1.0
P22090,train,2.0
P22102,train,4.0
P22234,train,2.0
P22307,train,3.0
P22314,train,4.0
P22413,train,3.0
P22695,train,4.0
P22830,train,4.0
P23142,test,
P23193,train,4.0
P23229,train,3.0
P23246,train,4.0
P23381,train,1.0
P23396,test,
P23497,test,
P23511,train,3.0
P23528,train,1.0
P23588,train,3.0
P23763,train,4.0
P23786,train,4.0
P23919,train,4.0
P23921,train,5.0
P24001,train,1.0
P24539,train,4.0
P24666,test,
P24752,train,4.0
P24928,train,1.0
P25098,train,4.0
P25205,train,1.0
P25325,test,
P25398,test,
P25440,train,1.0
P25490,train,1.0
P25705,train,4.0
P25786,train,4.0
P25788,train,1.0
P25789,test,
P26006,train,1.0
P26196,train,2.0
P26232,train,3.0
P26358,train,5.0
P26368,train,5.0
P26373,train,3.0
P26374,test,
P26447,train,5.0
P26640,train,2.0
P26641,train,4.0
P27105,train,4.0
P27144,train,2.0
P27361,train,2.0
P27694,train,2.0
P27695,train,4.0
P27707,train,1.0
P27708,train,4.0
P27797,train,1.0
P27816,train,4.0
P27824,train,3.0
P28062,test,
P28070,train,3.0
P28072,train,5.0
P28288,test,
P28331,train,3.0
P28340,train,3.0
P28702,train,2.0
P28715,test,
P28838,train,2.0
P29083,train,5.0
P29084,train,3.0
P29144,train,2.0
P29401,train,2.0
P29692,train,5.0
P29966,test,
P29992,train,1.0
P30040,train,2.0
P30041,train,1.0
P30044,train,4.0
P30047,train,4.0
P30049,train,3.0
P30050,train,5.0
P30084,train,4.0
P30085,train,3.0
P30086,train,2.0
P30414,test,
P30419,test,
P30519,train,4.0
P30520,train,2.0
P30533,train,5.0
P30566,train,3.0
P30613,test,
P30622,train,4.0
P30740,train,4.0
P30876,train,1.0
P31040,test,
P31150,train,2.0
P31153,train,5.0
P31323,train,2.0
P31350,train,4.0
P31751,train,1.0
P31937,train,2.0
P31939,train,2.0
P31943,train,3.0
P31948,test,
P31949,train,4.0
P32121,train,3.0
P32320,train,1.0
P32780,test,
P32929,test,
P32969,train,1.0
P33316,train,3.0
P33527,train,2.0
P33552,train,4.0
P33897,train,1.0
P33991,test,
P33992,train,4.0
P33993,train,5.0
P34897,train,1.0
P34913,train,2.0
P34949,test,
P35222,train,3.0
P35244,test,
P35249,test,
P35250,train,4.0
P35251,train,5.0
P35268,train,3.0
P35269,test,
P35270,train,1.0
P35527,test,
P35573,train,2.0
P35606,test,
P35610,test,
P35613,train,5.0
P35658,train,4.0
P35659,train,3.0
P35813,train,3.0
P35914,train,5.0
P36405,train,1.0
P36507,train,3.0
P36542,train,4.0
P36543,test,
P36578,train,4.0
P36776,train,3.0
P36871,test,
P36897,test,
P36954,test,
P36957,test,
P37108,test,
P37198,train,2.0
P37235,test,
P37268,train,4.0
P37837,train,1.0
P38117,train,2.0
P38435,test,
P38606,test,
P38646,train,5.0
P38919,test,
P39019,train,3.0
P39748,train,3.0
P39880,train,5.0
P40123,test,
P40222,train,5.0
P40227,train,3.0
P40429,train,3.0
P40763,train,2.0
P40818,test,
P40925,train,4.0
P40926,train,3.0
P40938,train,5.0
P40939,train,5.0
P41091,train,2.0
P41208,train,2.0
P41227,train,5.0
P41236,train,5.0
P41247,train,3.0
P41250,train,1.0
P41252,train,1.0
P41743,train,3.0
P42126,train,1.0
P42166,test,
P42285,train,4.0
P42345,train,5.0
P42356,train,5.0
P42566,train,5.0
P42677,train,2.0
P42684,train,4.0
P42704,test,
P42766,train,3.0
P42773,train,1.0
P42898,train,1.0
P43034,train,3.0
P43121,train,4.0
P43155,test,
P43243,test,
P43246,train,4.0
P43304,train,1.0
P43490,train,1.0
P43897,train,4.0
P45378,train,3.0
P45880,train,2.0
P45973,train,3.0
P45974,train,3.0
P46060,train,1.0
P46063,train,1.0
P46087,train,3.0
P46108,train,1.0
P46199,train,5.0
P46379,train,1.0
P46459,train,3.0
P46736,test,
P46776,train,3.0
P46777,train,3.0
P46778,train,5.0
P46779,train,5.0
P46781,train,5.0
P46782,train,4.0
P46926,train,1.0
P46934,test,
P46937,test,
P46940,train,2.0
P47712,train,2.0
P47755,test,
P47897,train,5.0
P47914,test,
P48047,train,5.0
P48147,train,3.0
P48200,train,1.0
P48444,train,3.0
P48449,test,
P48507,train,1.0
P48509,train,4.0
P48553,train,5.0
P48556,train,5.0
P48634,train,5.0
P48637,train,2.0
P48643,train,5.0
P48651,test,
P48723,train,3.0
P48729,test,
P48735,train,4.0
P48739,train,4.0
P48960,train,5.0
P49023,test,
P49207,test,
P49247,train,1.0
P49257,train,4.0
P49321,train,4.0
P49327,train,1.0
P49418,train,3.0
P49419,test,
P49458,train,1.0
P49585,train,5.0
P49589,train,5.0
P49591,train,3.0
P49641,train,5.0
P49642,test,
P49643,train,5.0
P49662,test,
P49711,train,5.0
P49720,train,3.0
P49721,train,1.0
P49736,test,
P49748,test,
P49750,train,1.0
P49753,train,4.0
P49754,train,3.0
P49755,train,5.0
P49756,train,1.0
P49770,train,4.0
P49773,train,4.0
P49790,test,
P49821,test,
P49902,train,2.0
P49903,train,4.0
P49914,train,1.0
P49915,train,5.0
P49916,train,1.0
P49959,train,3.0
P50135,test,
P50402,train,1.0
P50416,train,2.0
P50443,train,4.0
P50454,test,
P50502,train,3.0
P50542,train,2.0
P50548,train,4.0
P50552,train,2.0
P50579,train,5.0
P50747,test,
P50748,train,5.0
P50914,train,2.0
P50990,train,4.0
P50995,train,3.0
P51003,train,4.0
P51116,train,4.0
P51149,train,5.0
P51398,train,5.0
P51452,train,3.0
P51532,train,5.0
P51570,train,3.0
P51572,train,5.0
P51580,train,5.0
P51610,test,
P51648,train,2.0
P51649,test,
P51659,train,3.0
P51665,test,
P51784,test,
P51809,train,5.0
P51970,train,3.0
P51991,train,4.0
P52209,train,3.0
P52272,train,2.0
P52294,train,2.0
P52298,train,5.0
P52435,train,1.0
P52565,train,5.0
P52594,train,4.0
P52701,train,5.0
P52732,train,5.0
P52735,train,4.0
P52788,train,5.0
P52815,train,4.0
P52948,train,1.0
P53004,train,4.0
P53007,train,1.0
P53041,train,4.0
P53367,train,2.0
P53384,train,3.0
P53396,train,5.0
P53597,train,2.0
P53602,train,3.0
P53609,test,
P53611,test,
P53618,train,1.0
P53621,train,4.0
P53701,train,5.0
P53801,train,3.0
P53804,train,4.0
P53816,train,4.0
P53985,train,1.0
P53990,train,3.0
P53992,train,3.0
P53999,train,3.0
P54136,train,3.0
P54252,train,5.0
P54577,train,2.0
P54578,train,5.0
P54709,train,4.0
P54727,train,5.0
P54819,train,4.0
P54851,train,2.0
P54886,train,4.0
P54920,test,
P55008,train,2.0
P55010,train,1.0
P55011,train,3.0
P55060,train,5.0
P55072,train,1.0
P55081,train,5.0
P55084,test,
P55145,train,2.0
P55209,train,2.0
P55210,train,5.0
P55263,train,5.0
P55265,test,
P55327,test,
P55735,train,4.0
P55769,train,1.0
P55786,train,5.0
P55809,train,5.0
P55854,test,
P55884,train,4.0
P56192,test,
P56199,test,
P56270,train,3.0
P56378,train,4.0
P56385,train,2.0
P56545,train,1.0
P56715,train,1.0
P56937,train,3.0
P56945,train,1.0
P57076,train,4.0
P57081,test,
P57678,train,3.0
P57723,train,4.0
P57740,train,1.0
P58546,test,
P58557,train,4.0
P59998,test,
P60002,train,1.0
P60059,train,1.0
P60228,train,3.0
P60484,train,4.0
P60866,train,5.0
P60896,train,3.0
P60983,train,5.0
P61009,train,4.0
P61011,test,
P61081,test,
P61086,test,
P61158,train,1.0
P61201,test,
P61221,train,4.0
P61247,train,3.0
P61254,train,1.0
P61289,train,1.0
P61313,test,
P61353,train,1.0
P61421,train,2.0
P61457,test,
P61604,train,1.0
P61619,train,1.0
P61758,train,5.0
P61764,train,1.0
P61769,train,4.0
P61916,train,2.0
P61923,train,5.0
P61927,train,5.0
P61964,train,2.0
P61966,train,4.0
P61978,train,5.0
P62072,train,2.0
P62081,train,5.0
P62136,train,1.0
P62191,train,3.0
P62241,train,4.0
P62244,train,3.0
P62249,train,2.0
P62256,train,2.0
P62258,test,
P62263,train,2.0
P62266,train,3.0
P62269,train,3.0
P62273,train,3.0
P62277,train,2.0
P62280,train,3.0
P62304,train,4.0
P62306,test,
P62316,train,4.0
P62318,train,1.0
P62424,train,4.0
P62495,train,1.0
P62633,train,4.0
P62750,train,4.0
P62753,train,1.0
P62805,train,2.0
P62826,train,4.0
P62829,train,2.0
P62841,test,
P62847,train,2.0
P62851,train,2.0
P62854,train,1.0
P62857,test,
P62873,train,1.0
P62877,train,3.0
P62888,train,2.0
P62891,train,2.0
P62899,train,4.0
P62906,train,1.0
P62910,train,5.0
P62913,train,5.0
P62917,train,4.0
P62993,test,
P63167,test,
P63173,train,5.0
P63208,train,2.0
P63220,test,
P63241,train,2.0
P63244,train,5.0
P63272,train,5.0
P63279,test,
P67812,test,
P68400,train,3.0
P68431,train,3.0
P78310,train,1.0
P78316,train,3.0
P78318,train,5.0
P78330,train,3.0
P78344,train,2.0
P78345,train,2.0
P78347,train,4.0
P78406,train,3.0
P78417,test,
P80723,train,2.0
P81274,train,4.0
P82094,train,3.0
P82650,train,5.0
P82663,train,5.0
P82673,train,4.0
P82675,train,2.0
P82914,train,2.0
P82933,test,
P82970,train,3.0
P82979,train,4.0
P83111,train,4.0
P83436,train,2.0
P83731,test,
P83881,train,2.0
P84090,test,
P84098,train,1.0
P98082,train,2.0
P98170,train,4.0
P98173,train,5.0
P98175,train,1.0
P99999,train,1.0
Q00059,train,2.0
Q00325,train,3.0
Q00403,test,
Q00537,train,4.0
Q00577,train,4.0
Q00610,test,
Q00653,test,
Q00688,train,2.0
Q00765,test,
Q00796,train,4.0
Q01081,train,3.0
Q01105,train,1.0
Q01469,test,
Q01581,train,5.0
Q01650,train,3.0
Q01780,train,3.0
Q01804,train,3.0
Q01813,train,3.0
Q01831,test,
Q01844,train,5.0
Q01970,train,1.0
Q02040,test,
Q02127,train,3.0
Q02218,train,2.0
Q02241,train,2.0
Q02252,test,
Q02543,train,4.0
Q02790,test,
Q02818,train,1.0
Q02878,train,2.0
Q02880,train,5.0
Q03135,train,2.0
Q03154,train,5.0
Q03426,train,1.0
Q03468,train,3.0
Q03701,train,4.0
Q04446,test,
Q04637,train,2.0
Q04721,test,
Q04727,train,3.0
Q04760,train,4.0
Q04837,train,1.0
Q04864,train,5.0
Q05086,train,3.0
Q05209,train,4.0
Q05397,train,1.0
Q05519,train,3.0
Q05639,test,
Q05682,test,
Q06124,train,5.0
Q06136,train,5.0
Q06203,train,4.0
Q06210,train,1.0
Q06265,train,3.0
Q06481,train,3.0
Q06546,train,1.0
Q06547,train,3.0
Q06587,train,5.0
Q07020,test,
Q07021,train,4.0
Q07065,train,3.0
Q07157,train,3.0
Q07666,test,
Q07864,train,2.0
Q07960,train,1.0
Q08170,train,5.0
Q08211,test,
Q08257,train,1.0
Q08378,train,1.0
Q08379,train,3.0
Q08623,train,1.0
Q08752,train,4.0
Q08945,train,4.0
Q08AM6,train,4.0
Q08J23,test,
Q09028,train,5.0
Q09161,train,2.0
Q0IIM8,test,
Q0JRZ9,train,4.0
Q0PNE2,train,5.0
Q0VDF9,test,
Q0VDG4,train,1.0
Q10471,train,1.0
Q10570,train,1.0
Q10713,train,4.0
Q12768,train,5.0
Q12769,train,1.0
Q12788,test,
Q12789,train,1.0
Q12792,train,5.0
Q12797,train,5.0
Q12816,train,5.0
Q12834,train,3.0
Q12840,train,5.0
Q12849,train,4.0
Q12873,train,4.0
Q12874,train,1.0
Q12888,train,5.0
Q12904,train,4.0
Q12905,train,3.0
Q12906,train,1.0
Q12907,train,1.0
Q12929,train,3.0
Q12933,test,
Q12959,test,
Q12965,train,3.0
Q12972,train,1.0
Q12979,train,1.0
Q12996,train,1.0
Q13011,train,5.0
Q13017,test,
Q13033,train,2.0
Q13042,train,4.0
Q13045,train,2.0
Q13049,train,4.0
Q13057,test,
Q13084,train,5.0
Q13098,train,3.0
Q13123,train,3.0
Q13126,train,2.0
Q13131,train,5.0
Q13137,test,
Q13144,train,3.0
Q13148,train,2.0
Q13155,train,4.0
Q13158,train,4.0
Q13162,train,3.0
Q13177,train,2.0
Q13188,train,5.0
Q13191,train,1.0
Q13200,test,
Q13206,train,5.0
Q13217,train,1.0
Q13227,train,4.0
Q13228,train,3.0
Q13242,train,4.0
Q13263,train,2.0
Q13287,train,5.0
Q13310,train,4.0
Q13325,train,4.0
Q13347,train,4.0
Q13356,train,2.0
Q13371,train,1.0
Q13395,train,5.0
Q13405,train,5.0
Q13409,test,
Q13416,train,3.0
Q13418,train,1.0
Q13423,train,2.0
Q13428,train,1.0
Q13435,train,1.0
Q13439,train,3.0
Q13442,train,1.0
Q13459,train,3.0
Q13472,train,2.0
Q13485,train,2.0
Q13490,train,5.0
Q13492,train,4.0
Q13501,train,4.0
Q13523,train,3.0
Q13526,train,4.0
Q13535,train,1.0
Q13554,train,4.0
Q13561,test,
Q13569,test,
Q13573,train,2.0
Q13586,train,1.0
Q13595,train,2.0
Q13596,test,
Q13601,train,4.0
Q13610,train,5.0
Q13616,train,1.0
Q13617,train,2.0
Q13618,train,5.0
Q13620,train,1.0
Q13630,train,3.0
Q13637,test,
Q13642,train,3.0
Q13724,train,4.0
Q13740,train,5.0
Q13813,train,4.0
Q13823,test,
Q13867,train,1.0
Q13895,test,
Q13901,train,5.0
Q13907,train,1.0
Q13952,train,3.0
Q14004,train,2.0
Q14008,train,2.0
Q14019,train,5.0
Q14061,train,4.0
Q14108,train,5.0
Q14116,train,5.0
Q14118,train,4.0
Q14119,train,5.0
Q14126,train,4.0
Q14134,train,5.0
Q14139,train,3.0
Q14146,test,
Q14151,train,3.0
Q14152,train,4.0
Q14155,train,5.0
Q14181,train,5.0
Q14197,train,2.0
Q14203,train,5.0
Q14232,test,
Q14244,train,4.0
Q14247,train,3.0
Q14254,train,1.0
Q14258,train,1.0
Q14318,train,5.0
Q14320,train,3.0
Q14376,train,3.0
Q14444,train,1.0
Q14498,train,1.0
Q14527,train,2.0
Q14534,test,
Q14554,train,2.0
Q14562,train,2.0
Q14566,train,3.0
Q14642,train,4.0
Q14657,test,
Q14671,train,4.0
Q14677,test,
Q14683,train,2.0
Q14684,train,1.0
Q14690,train,5.0
Q14692,test,
Q14694,train,4.0
Q14697,train,5.0
Q14714,train,4.0
Q14738,train,1.0
Q14739,test,
Q14764,train,5.0
Q14807,train,1.0
Q14847,train,3.0
Q14914,train,4.0
Q14966,train,5.0
Q14974,train,1.0
Q14978,train,2.0
Q14980,train,2.0
Q14BN4,train,2.0
Q14C86,train,2.0
Q14CX7,train,4.0
Q15003,train,4.0
Q15004,train,2.0
Q15005,train,1.0
Q15007,train,5.0
Q15008,train,2.0
Q15018,train,5.0
Q15020,train,4.0
Q15021,train,2.0
Q15029,train,2.0
Q15031,test,
Q15036,test,
Q15041,train,2.0
Q15042,train,5.0
Q15046,train,2.0
Q15050,train,1.0
Q15054,train,1.0
Q15056,train,2.0
Q15057,train,1.0
Q15058,train,1.0
Q15061,train,4.0
Q15067,train,4.0
Q15075,train,1.0
Q15084,train,2.0
Q15121,train,5.0
Q15125,train,5.0
Q15126,train,3.0
Q15165,train,2.0
Q15185,train,2.0
Q15208,test,
Q15257,test,
Q15269,train,2.0
Q15274,test,
Q15276,train,1.0
Q15287,train,1.0
Q15293,test,
Q15311,train,4.0
Q15345,test,
Q15361,test,
Q15363,train,2.0
Q15369,train,2.0
Q15370,train,1.0
Q15382,train,1.0
Q15388,train,4.0
Q15392,train,3.0
Q15393,train,4.0
Q15397,train,1.0
Q15404,test,
Q15417,train,2.0
Q15427,train,1.0
Q15428,train,5.0
Q15435,test,
Q15437,train,1.0
Q15459,train,4.0
Q15528,train,3.0
Q15545,train,4.0
Q15555,train,2.0
Q15629,train,4.0
Q15631,train,2.0
Q15637,test,
Q15643,test,
Q15649,train,5.0
Q15650,train,1.0
Q15652,train,1.0
Q15653,train,2.0
Q15714,train,1.0
Q15738,train,2.0
Q15758,train,3.0
Q15785,test,
Q15800,train,5.0
Q15813,test,
Q15818,test,
Q16134,train,3.0
Q16186,train,5.0
Q16204,test,
Q16222,train,3.0
Q16352,train,1.0
Q16401,test,
Q16513,train,3.0
Q16514,train,5.0
Q16531,train,4.0
Q16543,train,4.0
Q16555,test,
Q16630,train,1.0
Q16637,test,
Q16643,test,
Q16658,train,3.0
Q16666,test,
Q16718,train,2.0
Q16795,train,4.0
Q16798,train,4.0
Q16822,test,
Q16836,test,
Q16851,test,
Q16891,train,5.0
Q17R31,test,
Q1ED39,train,5.0
Q27J81,train,2.0
Q2KHR3,train,2.0
Q2M389,train,3.0
Q2NKX8,train,5.0
