protein,length,shape
O94804,968,968x112
O94822,1766,1766x112
O94826,608,608x112
O94874,794,794x112
O94888,489,489x112
O94906,941,941x112
O94925,669,669x112
O94966,1318,1318x112
O94979,1220,1220x112
O94992,359,359x112
O95049,919,919x112
O95070,293,293x112
O95081,481,481x112
O95104,1147,1147x112
O95140,757,757x112
O95155,1302,1302x112
O95163,1332,1332x112
O95166,117,117x112
O95182,113,113x112
O95197,1032,1032x112
O95202,739,739x112
O95218,330,330x112
O95232,432,432x112
O95235,890,890x112
O95251,611,611x112
O95267,797,797x112
O95295,136,136x112
O95299,355,355x112
O95319,508,508x112
O95347,1197,1197x112
O95361,564,564x112
O95363,451,451x112
O95373,1038,1038x112
O95376,493,493x112
O95379,198,198x112
O95394,542,542x112
O95433,338,338x112
O95453,639,639x112
O95456,288,288x112
O95466,1100,1100x112
O95470,568,568x112
O95478,260,260x112
O95487,1268,1268x112
O95573,720,720x112
O95602,1720,1720x112
O95619,227,227x112
O95630,424,424x112
O95674,445,445x112
O95684,399,399x112
O95707,220,220x112
O95721,258,258x112
O95749,300,300x112
O95782,977,977x112
O95801,387,387x112
O95816,211,211x112
O95819,1239,1239x112
O95831,613,613x112
O95861,308,308x112
O95900,331,331x112
O95922,423,423x112
O95985,862,862x112
O96005,669,669x112
P00367,558,558x112
P00374,187,187x112
P00390,522,522x112
P00414,261,261x112
P00441,154,154x112
P00491,289,289x112
P00505,430,430x112
P00533,1210,1210x112
P00558,417,417x112
P00966,412,412x112
P02545,664,664x112
P02786,760,760x112
P02794,183,183x112
P04040,527,527x112
P04075,364,364x112
P04080,98,98x112
P04179,222,222x112
P04181,439,439x112
P04183,234,234x112
P04406,335,335x112
P04632,268,268x112
P04792,205,205x112
P04818,313,313x112
P04843,607,607x112
P04844,631,631x112
P04920,1241,1241x112
P05026,303,303x112
P05114,100,100x112
P05141,298,298x112
P05187,535,535x112
P05198,315,315x112
P05387,115,115x112
P05388,317,317x112
P05455,408,408x112
P05556,798,798x112
P05783,430,430x112
P06213,1382,1382x112
P06280,429,429x112
P06454,111,111x112
P06576,529,529x112
P06733,434,434x112
P06737,847,847x112
P06744,558,558x112
P06748,294,294x112
P06753,285,285x112
P07099,455,455x112
P07195,334,334x112
P07237,508,508x112
P07305,194,194x112
P07311,99,99x112
P07339,412,412x112
P07384,714,714x112
P07737,140,140x112
P07741,180,180x112
P07814,1512,1512x112
P07858,339,339x112
P07910,306,306x112
P07942,1786,1786x112
P07954,510,510x112
P08047,785,785x112
P08133,673,673x112
P08174,381,381x112
P08183,1280,1280x112
P08240,638,638x112
P08243,561,561x112
P08397,361,361x112
P08559,390,390x112
P08621,437,437x112
P08651,508,508x112
P08708,135,135x112
P08865,295,295x112
P09001,348,348x112
P09012,282,282x112
P09038,288,288x112
P09132,144,144x112
P09211,210,210x112
P09234,159,159x112
P09382,135,135x112
P09496,248,248x112
P09543,421,421x112
P09622,509,509x112
P09661,255,255x112
P09874,1014,1014x112
P09884,1462,1462x112
P09960,611,611x112
P0C7P0,127,127x112
P0C7P4,283,283x112
P0CG48,685,685x112
P0DJ07,73,73x112
P0DMU7,189,189x112
P0DPB6,133,133x112
P10155,538,538x112
P10321,366,366x112
P10515,647,647x112
P10606,129,129x112
P10620,155,155x112
P10644,381,381x112
P10768,282,282x112
P10809,573,573x112
P10909,449,449x112
P11047,1609,1609x112
P11117,423,423x112
P11166,492,492x112
P11172,480,480x112
P11177,359,359x112
P11233,206,206x112
P11310,421,421x112
P11387,765,765x112
P11413,515,515x112
P11498,1178,1178x112
P11717,2491,2491x112
P11766,374,374x112
P11831,508,508x112
P11908,318,318x112
P12004,261,261x112
P12081,509,509x112
P12107,1806,1806x112
P12268,514,514x112
P12270,2363,2363x112
P12694,445,445x112
P12955,493,493x112
P12956,609,609x112
P13010,732,732x112
P13051,313,313x112
P13073,169,169x112
P13284,250,250x112
P13489,461,461x112
P13639,858,858x112
P13667,645,645x112
P13674,534,534x112
P13693,172,172x112
P13797,630,630x112
P13804,333,333x112
P13807,737,737x112
P13984,249,249x112
P13987,128,128x112
P13995,350,350x112
P14174,115,115x112
P14209,185,185x112
P14314,528,528x112
P14317,486,486x112
P14324,419,419x112
P14550,325,325x112
P14625,803,803x112
P14635,433,433x112
P14678,240,240x112
P14735,1019,1019x112
P14854,86,86x112
P14866,589,589x112
P14868,501,501x112
P15056,766,766x112
P15311,586,586x112
P15328,257,257x112
P15374,230,230x112
P15408,326,326x112
P15529,392,392x112
P15531,152,152x112
P15559,274,274x112
P15735,406,406x112
P15880,293,293x112
P15927,270,270x112
P16070,742,742x112
P16152,277,277x112
P16278,677,677x112
P16401,226,226x112
P16435,677,677x112
P16591,822,822x112
P16615,1042,1042x112
P16989,372,372x112
P17096,107,107x112
P17252,672,672x112
P17480,764,764x112
P17568,137,137x112
P17612,351,351x112
P17676,345,345x112
P17812,591,591x112
P17987,556,556x112
P18031,435,435x112
P18074,760,760x112
P18077,110,110x112
P18124,248,248x112
P18206,1134,1134x112
P18583,2426,2426x112
P18621,184,184x112
P18669,254,254x112
P18754,421,421x112
P18858,919,919x112
P19174,1290,1290x112
P19338,710,710x112
P19367,917,917x112
P19404,249,249x112
P19440,569,569x112
P19525,551,551x112
P19532,575,575x112
P20042,333,333x112
P20226,339,339x112
P20290,206,206x112
P20585,1137,1137x112
P20618,241,241x112
P20645,277,277x112
P20674,150,150x112
P20810,708,708x112
P21127,795,795x112
P21266,225,225x112
P21281,511,511x112
P21283,382,382x112
P21291,193,193x112
P21912,280,280x112
P21926,228,228x112
P21953,392,392x112
P21964,271,271x112
P22033,750,750x112
P22059,807,807x112
P22087,321,321x112
P22090,263,263x112
P22102,1010,1010x112
P22234,425,425x112
P22307,547,547x112
P22314,1058,1058x112
P22413,925,925x112
P22695,453,453x112
P22830,423,423x112
P23142,703,703x112
P23193,301,301x112
P23229,1130,1130x112
P23246,707,707x112
P23381,471,471x112
P23396,243,243x112
P23497,879,879x112
P23511,347,347x112
P23528,166,166x112
P23588,611,611x112
P23763,118,118x112
P23786,658,658x112
P23919,212,212x112
P23921,792,792x112
P24001,234,234x112
P24539,256,256x112
P24666,158,158x112
P24752,427,427x112
P24928,1970,1970x112
P25098,689,689x112
P25205,808,808x112
P25325,297,297x112
P25398,132,132x112
P25440,801,801x112
P25490,414,414x112
P25705,553,553x112
P25786,263,263x112
P25788,255,255x112
P25789,261,261x112
P26006,1051,1051x112
P26196,483,483x112
P26232,953,953x112
P26358,1616,1616x112
P26368,475,475x112
P26373,211,211x112
P26374,656,656x112
P26447,101,101x112
P26640,1264,1264x112
P26641,437,437x112
P27105,288,288x112
P27144,223,223x112
P27361,379,379x112
P27694,616,616x112
P27695,318,318x112
P27707,260,260x112
P27708,2225,2225x112
P27797,417,417x112
P27816,1152,1152x112
P27824,592,592x112
P28062,276,276x112
P28070,264,264x112
P28072,239,239x112
P28288,659,659x112
P28331,727,727x112
P28340,1107,1107x112
P28702,533,533x112
P28715,1186,1186x112
P28838,519,519x112
P29083,439,439x112
P29084,291,291x112
P29144,1249,1249x112
P29401,623,623x112
P29692,281,281x112
P29966,332,332x112
P29992,359,359x112
P30040,261,261x112
P30041,224,224x112
P30044,214,214x112
P30047,84,84x112
P30049,168,168x112
P30050,165,165x112
P30084,290,290x112
P30085,196,196x112
P30086,187,187x112
P30414,1462,1462x112
P30419,496,496x112
P30519,316,316x112
P30520,456,456x112
P30533,357,357x112
P30566,484,484x112
P30613,574,574x112
P30622,1438,1438x112
P30740,379,379x112
P30876,1174,1174x112
P31040,664,664x112
P31150,447,447x112
P31153,395,395x112
P31323,418,418x112
P31350,389,389x112
P31751,481,481x112
P31937,336,336x112
P31939,592,592x112
P31943,449,449x112
P31948,543,543x112
P31949,105,105x112
P32121,409,409x112
P32320,146,146x112
P32780,548,548x112
P32929,405,405x112
P32969,192,192x112
P33316,252,252x112
P33527,1531,1531x112
P33552,79,79x112
P33897,745,745x112
P33991,863,863x112
P33992,734,734x112
P33993,719,719x112
P34897,504,504x112
P34913,555,555x112
P34949,423,423x112
P35222,781,781x112
P35244,121,121x112
P35249,363,363x112
P35250,354,354x112
P35251,1148,1148x112
P35268,128,128x112
P35269,517,517x112
P35270,261,261x112
P35527,623,623x112
P35573,1532,1532x112
P35606,906,906x112
P35610,550,550x112
P35613,385,385x112
P35658,2090,2090x112
P35659,375,375x112
P35813,382,382x112
P35914,325,325x112
P36405,182,182x112
P36507,400,400x112
P36542,298,298x112
P36543,226,226x112
P36578,427,427x112
P36776,959,959x112
P36871,562,562x112
P36897,503,503x112
P36954,125,125x112
P36957,453,453x112
P37108,136,136x112
P37198,522,522x112
P37235,193,193x112
P37268,417,417x112
P37837,337,337x112
P38117,255,255x112
P38435,758,758x112
P38606,617,617x112
P38646,679,679x112
P38919,411,411x112
P39019,145,145x112
P39748,380,380x112
P39880,1505,1505x112
P40123,477,477x112
P40222,546,546x112
P40227,531,531x112
P40429,203,203x112
P40763,770,770x112
P40818,1118,1118x112
P40925,334,334x112
P40926,338,338x112
P40938,356,356x112
P40939,763,763x112
P41091,472,472x112
P41208,172,172x112
P41227,235,235x112
P41236,205,205x112
P41247,253,253x112
P41250,739,739x112
P41252,1262,1262x112
P41743,596,596x112
P42126,302,302x112
P42166,694,694x112
P42285,1042,1042x112
P42345,2549,2549x112
P42356,2102,2102x112
P42566,896,896x112
P42677,84,84x112
P42684,1182,1182x112
P42704,1394,1394x112
P42766,123,123x112
P42773,168,168x112
P42898,656,656x112
P43034,410,410x112
P43121,646,646x112
P43155,626,626x112
P43243,847,847x112
P43246,934,934x112
P43304,727,727x112
P43490,491,491x112
P43897,325,325x112
P45378,269,269x112
P45880,294,294x112
P45973,191,191x112
P45974,858,858x112
P46060,587,587x112
P46063,649,649x112
P46087,812,812x112
P46108,304,304x112
P46199,727,727x112
P46379,1132,1132x112
P46459,744,744x112
P46736,316,316x112
P46776,148,148x112
P46777,297,297x112
P46778,160,160x112
P46779,137,137x112
P46781,194,194x112
P46782,204,204x112
P46926,289,289x112
P46934,1319,1319x112
P46937,504,504x112
P46940,1657,1657x112
P47712,749,749x112
P47755,286,286x112
P47897,775,775x112
P47914,159,159x112
P48047,213,213x112
P48147,710,710x112
P48200,963,963x112
P48444,511,511x112
P48449,732,732x112
P48507,274,274x112
P48509,253,253x112
P48553,1259,1259x112
P48556,350,350x112
P48634,2157,2157x112
P48637,474,474x112
P48643,541,541x112
P48651,473,473x112
P48723,471,471x112
P48729,337,337x112
P48735,452,452x112
P48739,271,271x112
P48960,835,835x112
P49023,591,591x112
P49207,117,117x112
P49247,311,311x112
P49257,510,510x112
P49321,788,788x112
P49327,2511,2511x112
P49418,695,695x112
P49419,539,539x112
P49458,86,86x112
P49585,367,367x112
P49589,748,748x112
P49591,514,514x112
P49641,1150,1150x112
P49642,420,420x112
P49643,509,509x112
P49662,377,377x112
P49711,727,727x112
P49720,205,205x112
P49721,201,201x112
P49736,904,904x112
P49748,655,655x112
P49750,2146,2146x112
P49753,483,483x112
P49754,854,854x112
P49755,219,219x112
P49756,843,843x112
P49770,351,351x112
P49773,126,126x112
P49790,1475,1475x112
P49821,464,464x112
P49902,561,561x112
P49903,392,392x112
P49914,203,203x112
P49915,693,693x112
P49916,1009,1009x112
P49959,708,708x112
P50135,292,292x112
P50402,254,254x112
P50416,773,773x112
P50443,739,739x112
P50454,418,418x112
P50502,369,369x112
P50542,639,639x112
P50548,548,548x112
P50552,380,380x112
P50579,478,478x112
P50747,726,726x112
P50748,2209,2209x112
P50914,215,215x112
P50990,548,548x112
P50995,505,505x112
P51003,745,745x112
P51116,673,673x112
P51149,207,207x112
P51398,398,398x112
P51452,185,185x112
P51532,1647,1647x112
P51570,392,392x112
P51572,246,246x112
P51580,245,245x112
P51610,2035,2035x112
P51648,485,485x112
P51649,535,535x112
P51659,736,736x112
P51665,324,324x112
P51784,963,963x112
P51809,220,220x112
P51970,172,172x112
P51991,378,378x112
P52209,483,483x112
P52272,730,730x112
P52294,538,538x112
P52298,156,156x112
P52435,117,117x112
P52565,204,204x112
P52594,562,562x112
P52701,1360,1360x112
P52732,1056,1056x112
P52735,878,878x112
P52788,366,366x112
P52815,198,198x112
P52948,1817,1817x112
P53004,296,296x112
P53007,311,311x112
P53041,499,499x112
P53367,373,373x112
P53384,320,320x112
P53396,1101,1101x112
P53597,346,346x112
P53602,400,400x112
P53609,377,377x112
P53611,331,331x112
P53618,953,953x112
P53621,1224,1224x112
P53701,268,268x112
P53801,180,180x112
P53804,2025,2025x112
P53816,162,162x112
P53985,500,500x112
P53990,364,364x112
P53992,1094,1094x112
P53999,127,127x112
P54136,660,660x112
P54252,361,361x112
P54577,528,528x112
P54578,494,494x112
P54709,279,279x112
P54727,409,409x112
P54819,239,239x112
P54851,167,167x112
P54886,795,795x112
P54920,295,295x112
P55008,147,147x112
P55010,431,431x112
P55011,1212,1212x112
P55060,971,971x112
P55072,806,806x112
P55081,439,439x112
P55084,474,474x112
P55145,182,182x112
P55209,391,391x112
P55210,303,303x112
P55263,362,362x112
P55265,1226,1226x112
P55327,224,224x112
P55735,322,322x112
P55769,128,128x112
P55786,919,919x112
P55809,520,520x112
P55854,103,103x112
P55884,814,814x112
P56192,900,900x112
P56199,1179,1179x112
P56270,477,477x112
P56378,58,58x112
P56385,69,69x112
P56545,445,445x112
P56715,2156,2156x112
P56937,341,341x112
P56945,870,870x112
P57076,290,290x112
P57081,412,412x112
P57678,1058,1058x112
P57723,403,403x112
P57740,925,925x112
P58546,118,118x112
P58557,167,167x112
P59998,168,168x112
P60002,83,83x112
P60059,68,68x112
P60228,445,445x112
P60484,403,403x112
P60866,119,119x112
P60896,70,70x112
P60983,142,142x112
P61009,180,180x112
P61011,504,504x112
P61081,183,183x112
P61086,200,200x112
P61158,418,418x112
P61201,443,443x112
P61221,599,599x112
P61247,264,264x112
P61254,145,145x112
P61289,254,254x112
P61313,204,204x112
P61353,136,136x112
P61421,351,351x112
P61457,104,104x112
P61604,102,102x112
P61619,476,476x112
P61758,197,197x112
P61764,594,594x112
P61769,119,119x112
P61916,151,151x112
P61923,177,177x112
P61927,97,97x112
P61964,334,334x112
P61966,158,158x112
P61978,463,463x112
P62072,90,90x112
P62081,194,194x112
P62136,330,330x112
P62191,440,440x112
P62241,208,208x112
P62244,130,130x112
P62249,146,146x112
P62256,183,183x112
P62258,255,255x112
P62263,151,151x112
P62266,143,143x112
P62269,152,152x112
P62273,56,56x112
P62277,151,151x112
P62280,158,158x112
P62304,92,92x112
P62306,86,86x112
P62316,118,118x112
P62318,126,126x112
P62424,266,266x112
P62495,437,437x112
P62633,177,177x112
P62750,156,156x112
P62753,249,249x112
P62805,103,103x112
P62826,216,216x112
P62829,140,140x112
P62841,145,145x112
P62847,133,133x112
P62851,125,125x112
P62854,115,115x112
P62857,69,69x112
P62873,340,340x112
P62877,108,108x112
P62888,115,115x112
P62891,51,51x112
P62899,125,125x112
P62906,217,217x112
P62910,135,135x112
P62913,178,178x112
P62917,257,257x112
P62993,217,217x112
P63167,89,89x112
P63173,70,70x112
P63208,163,163x112
P63220,83,83x112
P63241,154,154x112
P63244,317,317x112
P63272,117,117x112
P63279,158,158x112
P67812,179,179x112
P68400,391,391x112
P68431,136,136x112
P78310,365,365x112
P78316,857,857x112
P78318,339,339x112
P78330,225,225x112
P78344,907,907x112
P78345,283,283x112
P78347,998,998x112
P78406,368,368x112
P78417,241,241x112
P80723,227,227x112
P81274,684,684x112
P82094,1093,1093x112
P82650,360,360x112
P82663,173,173x112
P82673,323,323x112
P82675,430,430x112
P82914,257,257x112
P82933,396,396x112
P82970,282,282x112
P82979,210,210x112
P83111,547,547x112
P83436,770,770x112
P83731,157,157x112
P83881,106,106x112
P84090,104,104x112
P84098,196,196x112
P98082,770,770x112
P98170,497,497x112
P98173,230,230x112
P98175,930,930x112
P99999,105,105x112
Q00059,246,246x112
Q00325,362,362x112
Q00403,316,316x112
Q00537,523,523x112
Q00577,322,322x112
Q00610,1675,1675x112
Q00653,900,900x112
Q00688,224,224x112
Q00765,189,189x112
Q00796,357,357x112
Q01081,240,240x112
Q01105,290,290x112
Q01469,135,135x112
Q01581,520,520x112
Q01650,507,507x112
Q01780,885,885x112
Q01804,1114,1114x112
Q01813,784,784x112
Q01831,940,940x112
Q01844,656,656x112
Q01970,1234,1234x112
Q02040,695,695x112
Q02127,395,395x112
Q02218,1023,1023x112
Q02241,960,960x112
Q02252,535,535x112
Q02543,176,176x112
Q02790,459,459x112
Q02818,461,461x112
Q02878,288,288x112
Q02880,1626,1626x112
Q03135,178,178x112
Q03154,408,408x112
Q03426,396,396x112
Q03468,1493,1493x112
Q03701,1054,1054x112
Q04446,702,702x112
Q04637,1599,1599x112
Q04721,2471,2471x112
Q04727,773,773x112
Q04760,184,184x112
Q04837,148,148x112
Q04864,619,619x112
Q05086,875,875x112
Q05209,780,780x112
Q05397,1052,1052x112
Q05519,484,484x112
Q05639,463,463x112
Q05682,793,793x112
Q06124,593,593x112
Q06136,332,332x112
Q06203,517,517x112
Q06210,699,699x112
Q06265,439,439x112
Q06481,763,763x112
Q06546,454,454x112
Q06547,395,395x112
Q06587,406,406x112
Q07020,188,188x112
Q07021,282,282x112
Q07065,602,602x112
Q07157,1748,1748x112
Q07666,443,443x112
Q07864,2286,2286x112
Q07960,439,439x112
Q08170,494,494x112
Q08211,1270,1270x112
Q08257,329,329x112
Q08378,1498,1498x112
Q08379,1002,1002x112
Q08623,228,228x112
Q08752,370,370x112
Q08945,709,709x112
Q08AM6,782,782x112
Q08J23,767,767x112
Q09028,425,425x112
Q09161,790,790x112
Q0IIM8,1120,1120x112
Q0JRZ9,810,810x112
Q0PNE2,266,266x112
Q0VDF9,509,509x112
Q0VDG4,424,424x112
Q10471,571,571x112
Q10570,1443,1443x112
Q10713,525,525x112
Q12768,1159,1159x112
Q12769,1436,1436x112
Q12788,808,808x112
Q12789,2109,2109x112
Q12792,350,350x112
Q12797,758,758x112
Q12816,1431,1431x112
Q12834,499,499x112
Q12840,1032,1032x112
Q12849,480,480x112
Q12873,2000,2000x112
Q12874,501,501x112
Q12888,1972,1972x112
Q12904,312,312x112
Q12905,390,390x112
Q12906,894,894x112
Q12907,356,356x112
Q12929,822,822x112
Q12933,501,501x112
Q12959,904,904x112
Q12965,1108,1108x112
Q12972,351,351x112
Q12979,859,859x112
Q12996,717,717x112
Q13011,328,328x112
Q13017,1502,1502x112
Q13033,797,797x112
Q13042,620,620x112
Q13045,1269,1269x112
Q13049,653,653x112
Q13057,564,564x112
Q13084,256,256x112
Q13098,491,491x112
Q13123,557,557x112
Q13126,283,283x112
Q13131,559,559x112
Q13137,446,446x112
Q13144,721,721x112
Q13148,414,414x112
Q13155,320,320x112
Q13158,208,208x112
Q13162,271,271x112
Q13177,524,524x112
Q13188,491,491x112
Q13191,982,982x112
Q13200,908,908x112
Q13206,875,875x112
Q13217,504,504x112
Q13227,327,327x112
Q13228,472,472x112
Q13242,221,221x112
Q13263,835,835x112
Q13287,307,307x112
Q13310,644,644x112
Q13325,482,482x112
Q13347,325,325x112
Q13356,520,520x112
Q13371,301,301x112
Q13395,1621,1621x112
Q13405,166,166x112
Q13409,638,638x112
Q13416,577,577x112
Q13418,452,452x112
Q13423,1086,1086x112
Q13428,1488,1488x112
Q13435,895,895x112
Q13439,2230,2230x112
Q13442,181,181x112
Q13459,2157,2157x112
Q13472,1001,1001x112
Q13485,552,552x112
Q13490,618,618x112
Q13492,652,652x112
Q13501,440,440x112
Q13523,1007,1007x112
Q13526,163,163x112
Q13535,2644,2644x112
Q13554,666,666x112
Q13561,401,401x112
Q13569,410,410x112
Q13573,536,536x112
Q13586,685,685x112
Q13595,282,282x112
Q13596,522,522x112
Q13601,381,381x112
Q13610,501,501x112
Q13616,776,776x112
Q13617,745,745x112
Q13618,768,768x112
Q13620,913,913x112
Q13630,321,321x112
Q13637,225,225x112
Q13642,323,323x112
Q13724,837,837x112
Q13740,583,583x112
Q13813,2472,2472x112
Q13823,731,731x112
Q13867,455,455x112
Q13895,437,437x112
Q13901,141,141x112
Q13907,227,227x112
Q13952,458,458x112
Q14004,1512,1512x112
Q14008,2032,2032x112
Q14019,142,142x112
Q14061,63,63x112
Q14108,478,478x112
Q14116,193,193x112
Q14118,895,895x112
Q14119,521,521x112
Q14126,1118,1118x112
Q14134,588,588x112
Q14139,1066,1066x112
Q14146,1524,1524x112
Q14151,953,953x112
Q14152,1382,1382x112
Q14155,803,803x112
Q14181,598,598x112
Q14197,206,206x112
Q14203,1278,1278x112
Q14232,305,305x112
Q14244,749,749x112
Q14247,550,550x112
Q14254,428,428x112
Q14258,630,630x112
Q14318,412,412x112
Q14320,339,339x112
Q14376,348,348x112
Q14444,709,709x112
Q14498,530,530x112
Q14527,1009,1009x112
Q14534,574,574x112
Q14554,519,519x112
Q14562,1220,1220x112
Q14566,821,821x112
Q14642,412,412x112
Q14657,143,143x112
Q14671,1186,1186x112
Q14677,625,625x112
Q14683,1233,1233x112
Q14684,758,758x112
Q14690,1871,1871x112
Q14692,1282,1282x112
Q14694,798,798x112
Q14697,944,944x112
Q14714,243,243x112
Q14738,602,602x112
Q14739,615,615x112
